BinaryTerm
1 : 
   cosine_pre : 0.4
   cosine_rec : 0.13333333333333333
   cosine_f : 0.2
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.0
   cos_bin_rec : 0.0
   cos_bin_f : 0
   euc_bin_pre : 0.0
   euc_bin_rec : 0.0
   euc_bin_f : 0
2 : 
   cosine_pre : 0.1
   cosine_rec : 0.038461538461538464
   cosine_f : 0.05555555555555555
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.0
   cos_bin_rec : 0.0
   cos_bin_f : 0
   euc_bin_pre : 0.0
   euc_bin_rec : 0.0
   euc_bin_f : 0
3 : 
   cosine_pre : 0.2
   cosine_rec : 0.2
   cosine_f : 0.20000000000000004
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.0
   cos_bin_rec : 0.0
   cos_bin_f : 0
   euc_bin_pre : 0.0
   euc_bin_rec : 0.0
   euc_bin_f : 0
4 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.0
   cos_bin_rec : 0.0
   cos_bin_f : 0
   euc_bin_pre : 0.0
   euc_bin_rec : 0.0
   euc_bin_f : 0
5 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.0
   cos_bin_rec : 0.0
   cos_bin_f : 0
   euc_bin_pre : 0.0
   euc_bin_rec : 0.0
   euc_bin_f : 0
6 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.0
   cos_bin_rec : 0.0
   cos_bin_f : 0
   euc_bin_pre : 0.0
   euc_bin_rec : 0.0
   euc_bin_f : 0
7 : 
   cosine_pre : 0.1
   cosine_rec : 0.14285714285714285
   cosine_f : 0.11764705882352941
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.0
   cos_bin_rec : 0.0
   cos_bin_f : 0
   euc_bin_pre : 0.0
   euc_bin_rec : 0.0
   euc_bin_f : 0
8 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.0
   cos_bin_rec : 0.0
   cos_bin_f : 0
   euc_bin_pre : 0.0
   euc_bin_rec : 0.0
   euc_bin_f : 0
9 : 
   cosine_pre : 0.1
   cosine_rec : 0.2
   cosine_f : 0.13333333333333333
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.0
   cos_bin_rec : 0.0
   cos_bin_f : 0
   euc_bin_pre : 0.0
   euc_bin_rec : 0.0
   euc_bin_f : 0
10 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.1
   euclid_rec : 0.1
   euclid_f : 0.10000000000000002
   cos_bin_pre : 0.0
   cos_bin_rec : 0.0
   cos_bin_f : 0
   euc_bin_pre : 0.0
   euc_bin_rec : 0.0
   euc_bin_f : 0
11 : 
