PureTF
1 : 
   cosine_pre : 0.5
   cosine_rec : 0.16666666666666666
   cosine_f : 0.25
   euclid_pre : 0.1
   euclid_rec : 0.03333333333333333
   euclid_f : 0.05
   cos_bin_pre : 0.027
   cos_bin_rec : 0.9
   cos_bin_f : 0.05242718446601941
   euc_bin_pre : 0.027
   euc_bin_rec : 0.9
   euc_bin_f : 0.05242718446601941
2 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.016
   cos_bin_rec : 0.6153846153846154
   cos_bin_f : 0.031189083820662766
   euc_bin_pre : 0.016
   euc_bin_rec : 0.6153846153846154
   euc_bin_f : 0.031189083820662766
3 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.1
   euclid_rec : 0.1
   euclid_f : 0.10000000000000002
   cos_bin_pre : 0.008
   cos_bin_rec : 0.8
   cos_bin_f : 0.015841584158415842
   euc_bin_pre : 0.008
   euc_bin_rec : 0.8
   euc_bin_f : 0.015841584158415842
4 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.002
   cos_bin_rec : 0.5
   cos_bin_f : 0.00398406374501992
   euc_bin_pre : 0.002
   euc_bin_rec : 0.5
   euc_bin_f : 0.00398406374501992
5 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.005
   cos_bin_rec : 0.8333333333333334
   cos_bin_f : 0.009940357852882702
   euc_bin_pre : 0.005
   euc_bin_rec : 0.8333333333333334
   euc_bin_f : 0.009940357852882702
6 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.004
   cos_bin_rec : 0.6666666666666666
   cos_bin_f : 0.007952286282306164
   euc_bin_pre : 0.004
   euc_bin_rec : 0.6666666666666666
   euc_bin_f : 0.007952286282306164
7 : 
   cosine_pre : 0.1
   cosine_rec : 0.14285714285714285
   cosine_f : 0.11764705882352941
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.005
   cos_bin_rec : 0.7142857142857143
   cos_bin_f : 0.009930486593843098
   euc_bin_pre : 0.005
   euc_bin_rec : 0.7142857142857143
   euc_bin_f : 0.009930486593843098
8 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.012
   cos_bin_rec : 0.9230769230769231
   cos_bin_f : 0.023692003948667325
   euc_bin_pre : 0.012
   euc_bin_rec : 0.9230769230769231
   euc_bin_f : 0.023692003948667325
9 : 
   cosine_pre : 0.1
   cosine_rec : 0.2
   cosine_f : 0.13333333333333333
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.004
   cos_bin_rec : 0.8
   cos_bin_f : 0.007960199004975124
   euc_bin_pre : 0.004
   euc_bin_rec : 0.8
   euc_bin_f : 0.007960199004975124
10 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.008
   cos_bin_rec : 0.8
   cos_bin_f : 0.015841584158415842
   euc_bin_pre : 0.008
   euc_bin_rec : 0.8
   euc_bin_f : 0.015841584158415842
11 : 
   cosine_pre : 0.1
   cosine_rec : 0.1111111111111111
   cosine_f : 0.10526315789473685
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.008
   cos_bin_rec : 0.8888888888888888
   cos_bin_f : 0.015857284440039643
   euc_bin_pre : 0.008
   euc_bin_rec : 0.8888888888888888
   euc_bin_f : 0.015857284440039643
12 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.005
   cos_bin_rec : 0.7142857142857143
   cos_bin_f : 0.009930486593843098
   euc_bin_pre : 0.005
   euc_bin_rec : 0.7142857142857143
   euc_bin_f : 0.009930486593843098
13 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.004
   cos_bin_rec : 0.6666666666666666
   cos_bin_f : 0.007952286282306164
   euc_bin_pre : 0.004
   euc_bin_rec : 0.6666666666666666
   euc_bin_f : 0.007952286282306164
14 : 
   cosine_pre : 0.1
   cosine_rec : 0.25
   cosine_f : 0.14285714285714288
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.003
   cos_bin_rec : 0.75
   cos_bin_f : 0.005976095617529881
   euc_bin_pre : 0.003
   euc_bin_rec : 0.75
   euc_bin_f : 0.005976095617529881
15 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.002
   cos_bin_rec : 0.5
   cos_bin_f : 0.00398406374501992
   euc_bin_pre : 0.002
   euc_bin_rec : 0.5
   euc_bin_f : 0.00398406374501992
16 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.004
   cos_bin_rec : 0.8
   cos_bin_f : 0.007960199004975124
   euc_bin_pre : 0.004
   euc_bin_rec : 0.8
   euc_bin_f : 0.007960199004975124
17 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.003
   cos_bin_rec : 0.75
   cos_bin_f : 0.005976095617529881
   euc_bin_pre : 0.003
   euc_bin_rec : 0.75
   euc_bin_f : 0.005976095617529881
18 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.004
   cos_bin_rec : 0.8
   cos_bin_f : 0.007960199004975124
   euc_bin_pre : 0.004
   euc_bin_rec : 0.8
   euc_bin_f : 0.007960199004975124
19 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.01
   cos_bin_rec : 0.9090909090909091
   cos_bin_f : 0.019782393669634024
   euc_bin_pre : 0.01
   euc_bin_rec : 0.9090909090909091
   euc_bin_f : 0.019782393669634024
20 : 
   cosine_pre : 0.1
   cosine_rec : 0.09090909090909091
   cosine_f : 0.09523809523809525
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.01
   cos_bin_rec : 0.9090909090909091
   cos_bin_f : 0.019782393669634024
   euc_bin_pre : 0.01
   euc_bin_rec : 0.9090909090909091
   euc_bin_f : 0.019782393669634024
21 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.003
   cos_bin_rec : 0.5
   cos_bin_f : 0.005964214711729622
   euc_bin_pre : 0.003
   euc_bin_rec : 0.5
   euc_bin_f : 0.005964214711729622
22 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.001
   cos_bin_rec : 0.3333333333333333
   cos_bin_f : 0.0019940179461615153
   euc_bin_pre : 0.001
   euc_bin_rec : 0.3333333333333333
   euc_bin_f : 0.0019940179461615153
23 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.03
   cos_bin_rec : 0.8823529411764706
   cos_bin_f : 0.058027079303675046
   euc_bin_pre : 0.03
   euc_bin_rec : 0.8823529411764706
   euc_bin_f : 0.058027079303675046
24 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.004
   cos_bin_rec : 0.8
   cos_bin_f : 0.007960199004975124
   euc_bin_pre : 0.004
   euc_bin_rec : 0.8
   euc_bin_f : 0.007960199004975124
25 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.01
   cos_bin_rec : 0.9090909090909091
   cos_bin_f : 0.019782393669634024
   euc_bin_pre : 0.01
   euc_bin_rec : 0.9090909090909091
   euc_bin_f : 0.019782393669634024
26 : 
   cosine_pre : 0.0
   cosine_rec : 0.0
   cosine_f : 0
   euclid_pre : 0.0
   euclid_rec : 0.0
   euclid_f : 0
   cos_bin_pre : 0.007
